CNPJ_FUNDO;CPF-PROPRIETARIO;FAT_ANUAL
11.702.050/0001-37;30622340;3044921
28.321.120/0001-00;30622348;1781786
03.765.991/0001-91;30622383;2197976
29.259.913/0001-09;30622389;2886021
26.725.112/0001-01;30622405;1717074
13.412.173/0001-69;30622467;3124422
09.577.459/0001-27;30622479;2914033
24.933.587/0001-50;30622493;1039191
21.762.085/0001-15;30622551;1701751
12.984.717/0001-02;30622605;3308151
18.289.977/0001-36;30622615;922291
10.309.762/0001-28;30622659;1614838
12.798.254/0001-86;30622758;1531554
11.575.456/0001-04;30622786;3020381
24.976.980/0001-20;30622882;1337515
05.142.282/0001-85;30622893;2685405
22.428.807/0001-62;30622923;3328798
07.819.059/0001-55;30622928;1864079
17.676.726/0001-41;30622943;1426589
09.285.146/0001-03;30622956;3057248
03.580.777/0001-60;30622957;1956924
04.194.572/0001-00;30623058;1803133
22.188.046/0001-19;30623083;868976
26.507.118/0001-02;30623085;1922722
22.188.107/0001-48;30623090;1056297
04.150.705/0001-46;30623107;1541893
05.925.914/0001-87;30623153;909075
13.659.367/0001-63;30623159;1105426
08.773.281/0001-27;30623193;2592472
13.636.054/0001-90;30623292;1251506
14.298.887/0001-50;30623307;3480973
33.736.845/0001-07;30623323;1808613
09.720.835/0001-90;30623348;1786781
13.768.597/0001-60;30623355;878512
11.090.936/0001-77;30623396;558817
29.259.759/0001-75;30623401;1174499
10.474.503/0001-52;30623426;1680656
26.525.450/0001-91;30623453;2649654
11.286.491/0001-03;30623458;2027275
09.441.293/0001-17;30623482;2984512
04.194.735/0001-54;30623485;2936417
04.522.365/0001-37;30623487;2571051
04.682.817/0001-48;30623528;723650
17.161.990/0001-42;30623551;723903
14.180.146/0001-70;30623575;2494972
05.627.885/0001-77;30623621;2095423
18.820.240/0001-06;30623627;1744916
09.252.773/0001-30;30623637;2057323
26.343.804/0001-87;30623678;2339376
03.545.843/0001-61;30623691;1835335
18.602.352/0001-82;30623696;889826
08.927.458/0001-00;30623719;2631378
06.175.667/0001-01;30623753;975488
11.046.049/0001-00;30623768;900109
13.902.199/0001-95;30623770;1195653
20.335.595/0001-43;30623774;1061760
15.832.706/0001-97;30623849;2456886
13.812.265/0001-36;30623863;3191514
03.154.212/0001-11;30623902;1441523
10.292.355/0001-55;30623914;1728166
09.613.306/0001-98;30623940;2934665
09.391.907/0001-01;30623960;1219091
04.522.315/0001-50;30623970;630954
22.345.691/0001-06;30623980;2119059
05.381.277/0001-25;30624040;2893780
18.899.806/0001-29;30624073;3365060
21.721.251/0001-35;30624139;2378300
14.707.527/0001-65;30624202;2793453
30.556.572/0001-12;30624228;512466
27.328.587/0001-19;30624273;1372342
